date	classification	total_volume	total_pnl	trade_count
01-05-2023	Greed	477	0	3
05-12-2023	Extreme Greed	50005.83	0	9
14-12-2023	Greed	113203.35	-205.434737	11
15-12-2023	Greed	10609.95	-24.632034	2
16-12-2023	Greed	15348.77	0	3
17-12-2023	Greed	116278.02	304.982785	14
18-12-2023	Greed	31164.18	0	2
19-12-2023	Greed	91602.41	1000.538612	15
20-12-2023	Greed	141636.79	162.732282	18
21-12-2023	Greed	125233.97	537.211402	49
22-12-2023	Greed	88874.28	141.832675	10
23-12-2023	Greed	78438.25	146.936704	13
24-12-2023	Greed	402954.94	1008.619956	39
25-12-2023	Greed	59948.51	-245.081348	3
27-12-2023	Greed	171411.06	-704.889227	28
28-12-2023	Greed	100117.25	-970.730876	23
29-12-2023	Greed	569559.72	508.922143	50
30-12-2023	Greed	702550.21	354.998648	52
01-01-2024	Greed	264239.53	-129.53146	18
02-01-2024	Greed	121348.74	783.979116	17
03-01-2024	Greed	394499.36	866.015507	67
04-01-2024	Greed	99792.54	-67.60364	5
05-01-2024	Greed	1703942.66	164.141565	66
06-01-2024	Greed	298521.4	135.581664	22
07-01-2024	Greed	1048850.06	-835.681235	97
08-01-2024	Greed	1522452.43	-269.874439	128
09-01-2024	Extreme Greed	870051.97	-826.349863	70
10-01-2024	Greed	2057479.48	-1517.091342	193
11-01-2024	Extreme Greed	305314.1	-164.089501	21
12-01-2024	Greed	200082.27	-1925.519024	7
15-01-2024	Neutral	50636.1	152.85358	14
16-01-2024	Greed	116427.33	-2299.171458	9
17-01-2024	Greed	800831.03	813.274111	53
18-01-2024	Greed	424631.53	68.93319	46
19-01-2024	Neutral	428428.97	-385.419235	48
20-01-2024	Neutral	1070090.51	-146.57487	106
21-01-2024	Greed	103129.74	266.581146	11
22-01-2024	Greed	337878.99	1375.640959	85
23-01-2024	Neutral	414518.93	-369.24473	45
24-01-2024	Neutral	965084.59	-2808.353815	68
25-01-2024	Neutral	66566.13	-3093.629385	6
26-01-2024	Neutral	11773.21	90.2	5
28-01-2024	Neutral	18109.03	-2478.06972	11
29-01-2024	Greed	414208.18	486.562542	74
30-01-2024	Greed	401011.38	-173.654191	49
31-01-2024	Greed	6305647.13	-799.840817	859
01-02-2024	Greed	2008.18	0	6
02-02-2024	Greed	474278.43	456.423473	42
03-02-2024	Greed	603820	223.309187	56
04-02-2024	Greed	203187.53	47.623895	35
05-02-2024	Greed	770198.26	-33.454194	72
06-02-2024	Greed	8047153.41	-215.615907	1088
07-02-2024	Greed	6758.73	241.24212	15
08-02-2024	Greed	26051.12	770.756024	10
11-02-2024	Greed	212311.82	983.443176	34
12-02-2024	Greed	227247.7	913.881787	16
13-02-2024	Extreme Greed	1999.99	559.44389	14
14-02-2024	Greed	320839.88	3830.599833	111
15-02-2024	Greed	185188.04	1840.797677	63
16-02-2024	Greed	564896.51	5491.768834	182
17-02-2024	Extreme Greed	406118.07	1929.6418	94
18-02-2024	Greed	157048.17	477.62483	97
19-02-2024	Extreme Greed	286377.2	4317.768563	101
20-02-2024	Greed	119419.72	3263.628824	39
21-02-2024	Extreme Greed	108047.52	1858.79857	22
22-02-2024	Greed	373033.87	3894.10507	88
23-02-2024	Extreme Greed	111106.14	1418.55293	143
25-02-2024	Greed	4480.13	-30.7705	5
26-02-2024	Greed	192187.14	4416.8473	39
27-02-2024	Extreme Greed	209362.3	888.511733	63
28-02-2024	Extreme Greed	171107.13	2503.747235	45
29-02-2024	Extreme Greed	395666.73	9813.996992	116
01-03-2024	Extreme Greed	472974.7	8244.241409	137
02-03-2024	Extreme Greed	63197.56	230.9006	31
03-03-2024	Extreme Greed	390745.68	8361.086245	79
04-03-2024	Extreme Greed	1577996.87	27799.77574	300
05-03-2024	Extreme Greed	841810.32	19791.02604	180
06-03-2024	Extreme Greed	327218.02	6814.825139	82
08-03-2024	Extreme Greed	183583.18	4271.886236	67
09-03-2024	Extreme Greed	658178.75	9949.501624	117
10-03-2024	Extreme Greed	219973.85	2482.9272	42
11-03-2024	Extreme Greed	176519.45	3588.179495	42
12-03-2024	Extreme Greed	103040.85	3039.166	8
13-03-2024	Extreme Greed	6000.8	0	7
14-03-2024	Extreme Greed	205933.18	3465.865832	18
15-03-2024	Extreme Greed	351894.41	6236.513651	62
16-03-2024	Extreme Greed	37223.66	228.57984	8
17-03-2024	Extreme Greed	99506.95	503.293955	23
18-03-2024	Extreme Greed	90458.08	1456.9577	19
19-03-2024	Extreme Greed	219884.84	668.797973	24
20-03-2024	Greed	215705.85	6423.134599	69
21-03-2024	Extreme Greed	117895.57	2335.508075	28
24-03-2024	Greed	92592.21	1297.018477	19
25-03-2024	Extreme Greed	57116.32	1302.916428	7
26-03-2024	Extreme Greed	198565.19	3215.906593	118
27-03-2024	Extreme Greed	99864.79	150.41114	38
28-03-2024	Extreme Greed	35323.72	227.851008	13
29-03-2024	Extreme Greed	86914.37	883.097404	15
30-03-2024	Extreme Greed	101103.92	1100.57514	45
31-03-2024	Extreme Greed	39912.96	912.786145	13
01-04-2024	Extreme Greed	339470.47	2507.963406	77
02-04-2024	Extreme Greed	239664.51	883.760812	41
03-04-2024	Greed	16887.57	126.7884	4
04-04-2024	Greed	95987.73	0	32
05-04-2024	Extreme Greed	503791.8	10706.48431	100
06-04-2024	Extreme Greed	68223.67	236.335134	16
07-04-2024	Extreme Greed	49988.14	0	23
08-04-2024	Extreme Greed	211940.64	1218.4267	30
09-04-2024	Extreme Greed	57063.84	0	3
10-04-2024	Extreme Greed	351735.97	5207.443414	41
